代碼,學分,學時,老師,班級,Subject,科目,時間,地點
J501,3,3,紀人豪,化材碩職一, Special Topics in Safety Control Regulations of Hazardous Materials,危險物品管理特論,五11-13,工程館E408專題研討一
J502,3,3,黃奕豪,化材碩職一,,防火防爆工程特論,二11-13,工程館E408專題研討一
J503,3,3,蔡明瞭,化材碩職一, Advanced Organic Chemistry,高等有機化學,四11-13,工程館E408專題研討一
J531,1,2,駱安亞,化材碩職一, Seminar （Ⅱ）,專題討論（二）,三11-12,工程館E404階梯教室
J532,1,2,錢玉樹,化材碩職二, Seminar（Ⅳ）,專題討論（四）,三11-12,工程館E404階梯教室
J533,0,0,,化材碩職一,,班週會時間,二09-10,工程館E408專題研討一
J534,0,0,,化材碩職二,,班週會時間,一09-10,工程館E408專題研討一
J599,3,3,化材碩論文,化材碩職二, Paper（Ⅱ）,論文（二）,,
J601,3,3,陳志明,機械碩職一選1, The fundamental of fastener boundaries,緊固邊界特論,一10-12,機械館材料實驗室
J602,3,3,潘吉祥,機械碩職一選2, Fabrication Technologies of Micro-systems,微系統製造技術,二10-12,國秀樓3A
J603,3,3,楊善國,機械碩職一選3, An Introuction Reliability Engineering,可靠度工程理論與應用,三10-12,國秀樓4A
J604,3,3,陳正和,機械碩職一選4, Automated Optical Inspection,自動化光學檢測,四10-12,機械館電腦輔助產品設計電腦教室
J605,3,3,楊善國,機械碩職一選4, Electronic elements and applied circuits,電子元件與應用電路,四10-12,國秀樓4A
J631,2,2,陳聰嘉,機械碩職一, Seminar （Ⅰ）,書報討論（一）,,單週開課)五11-1
J632,0,0,,機械碩職一,,班週會時間,一13-14,機械館材料實驗室
J633,0,0,,機械碩職二,,班週會時間,一13-14,機械館會議室
J699,3,3,機械碩論文,機械碩職二, Papers,論文,,
J701,3,3,洪玉城,電子夜職碩選1, IC Design in Practice,積體電路實現專論,二10-12,E544-工程館5F
J702,3,3,謝韶徽,電子夜職碩選2, SoC Design Overview,SoC概論,四10-12,E544-工程館5F
J703,3,3,曾振東,電子夜職碩選3, Topics of practical antenna technique and design,實用天線技術專題,六06-08,E629-工程館6F
J731,1,2,陳宏光,電子碩職一, Seminar （Ⅱ）,專題討論（二）,一10-11,E711-工程館7F
J732,1,2,黃國興,電子碩職二, Seminar（Ⅳ）,專題討論（四）,一10-11,E614-工程館6F
J733,0,0,,電子碩職一,,班週會時間,一12-13,E711-工程館7F
J734,0,0,,電子碩職二,,班週會時間,二13-14,E617-工程館6F
J799,3,3,電子碩論文,電子碩職二, Papers,論文,,
J801,3,3,楊金山,碩職一二選1, 3D animation practice creation,3D動畫實務創作,六01-03,E531-工程館5F
J802,3,3,王圳木,碩職一二選2, Digital Image Processing,數位影像處理,六06-08,E418-工程館4F
J803,3,3,連俊瑋,碩職一二選3, Advanced big data analytics,進階巨量資料分析,六09-11,工程館E437教室
J804,3,3,林正堅,碩職二選1, Fuzzy Theory and Applications,模糊理論與應用,六06-08,工程館E437教室
J831,1,2,楊勝智,資工碩職一, Seminar （Ⅱ）,專題討論（二）,六04-05,工程館E437教室
J832,1,2,林正堅,資工碩職二, Seminar（Ⅳ）,專題討論（四）,六04-05,工程館E437教室
J833,0,0,,資工碩職一,,班週會時間,六12-13,工程館E437教室
J834,0,0,,資工碩職二,,班週會時間,六12-13,工程館E437教室
J899,3,3,資工碩論文,資工碩職二, Papers,論文,,
J901,3,3,賴秋庚,碩專選1, Digital Control,數位控制,四10-12,E223電子實驗教室
J902,3,3,吳行立,碩專選2, Analysis and Design of Switching Power Supply,切換式電源供應器設計,六01-03,E331書報討論
J903,3,3,姚宇桐,碩專選3, Advanced Power Electronics,高等電力電子學,六05-07,E331書報討論
J904,3,3,黃國華,碩專選4, Advanced Design of Experiments,高等實驗設計,日01-03,E318電機設計實驗教室
J931,2,2,白能勝,電機碩職一, Seminar （2）,專題研討（二）,六08-09,E228微處理機實驗教室
J932,0,0,,電機碩職一,,班週會時間,六04-04,"E321電機機械實驗教室), 六12-1"
J933,0,0,,電機碩職二,,班週會時間,六04-04,"E306電能監控管理實驗), 六08-0"
J999,3,3,電機碩論文,電機碩職二, thesis （2）,論文（二）,,
L001,3,3,駱文傑,精密博一選, Energy Saving Control Technology,空調節能技術,一02-04,E117研究所研討
L002,3,3,陳紹賢,精密博一選, Design for Precision Machinery,精密機械設計,二02-04,國秀樓3A
L003,3,3,顏木田,精密博一選, Precision Machinery Dynamics and Control,精密機械控制,二05-07,國秀樓3A
L004,3,3,邱維銘,精密博一選, Precision Thin Film Technology,精密薄膜科技,四05-07,工程館E509 研究室
L005,3,3,王輔仁,精密博一選, Indoor Environmental Quality,室內環境品質,四06-08,E227研究所電化教室
L006,3,3,管衍德,精密博一選, Computer-aided Mechanism Design and Analysis,電腦輔助機構設計,二02-04,E103冷凍空調設計實驗室
L097,1,2,邱維銘,精密博一, Seminar,書報討論,三06-07,研發二樓精密所會議室
L098,1,2,顏木田,精密博二, Seminar,書報討論,三06-07,研發二樓精密所會議室
L099,3,3,博班論文二三,精密博二, Paper（Ⅱ）,論文（二）,,
LT01,3,3,有限元素法特論,精密產博1, Advanced Finite Element Method,有限元素法特論,一05-07,機械館2F教師研究室
LT02,3,3,蔡美慧,精密產博1, Polymer Characterization and Analysis,高分子定性與分析,五05-07,工程館E515研究室
LT10,1,2,蔡明義,精密產博1, Seminar（Ⅱ）,實務專題研究（二）,三06-07,研發二樓精密所會議室
LT30,3,3,曹世昌,電資產博選1, Big Data Analytics,巨量資料分析,五05-07,E431-工程館4F
LT31,3,3,葉政育,電資產博1, Applications for Deep Learning,深度學習實務應用,五05-07,E320電能技術CAD實驗
LT32,3,3,姚宇桐,電資產博1, Advanced Power Electronics,高等電力電子學,五02-04,工具機大樓VV203會議室
LT33,3,3,羅永昌,電資產博1, Design and Implementation of Electric Drive,電動機驅動設計實務,二05-07,E224 PC-BASED實驗室
LT34,3,3,林正堅,電資產博1, Artificial Intelligence,人工智慧,一02-04,工程館 E429
LT35,1,2,陳鴻誠,電資產博1, Seminar （Ⅱ）,實務專題研究（二）,三06-07,工具機大樓VV203會議室
S101,3,3,葉彥良,機電大職攜一選1, Dynamics of Machine,機械動力學,四02-04,E304電工儀表實驗教室
S102,3,4,洪清寶,機電大職攜一選2, Advanced Single-Chip Application and Laboratory,單晶片應用及實習,一05-08,E241機電整合實驗教室
S103,3,4,姚賀騰,機電大職攜一選3,,數控機械應用及實習,三05-08,E313工業電子及感測實
S104,3,4,卜文正,機電大職攜一選4, MATLAB Programming and Practice,MATLAB程式設計及實習,五05-08,E226整合網路應用控制實驗室
S105,3,4,白能勝,機電大職攜二選1, Arduino Programming and Practice,Arduino應用及實習,一05-08,E228微處理機實驗教室
S106,3,4,賴香月,機電大職攜二選2, Graphical computer program and experiment,圖控程式設計及實習,二05-08,E228微處理機實驗教室
S107,3,4,簡伯霖,機電大職攜二選3, Expert Program Design And Application,專業軟體應用及實習,五05-08,E313工業電子及感測實
S121,2,2,游東道,機電大職攜一, Practical English （Ⅱ）,實用英文（二）,二03-04,國秀樓311教室
S122,0,2,林誯鎮,機電大職攜一, PhysicalEducation（Ⅱ）,體育（二）,四05-06,撞球
S123,3,3,蔡政道,機電大職攜一, Electric Circuit Analysis,電路學,二05-07,E301電力品質實驗教室
S124,3,3,黃國華,機電大職攜一, Engineering Mathematics,工程數學,三02-04,E304電工儀表實驗教室
S125,3,3,古峰昌,機電大職攜一, Introduction of Automation,自動工程概論,五02-04,E306電能監控管理實驗
S126,2,2,林晏宇,機電大職攜二, Practical English （Ⅱ）,實用英文（二）,三05-06,國秀樓406教室
S127,3,3,江亞玉,機電大職攜二, Applied chinese （Ⅱ）,應用國文（二）,二02-04,國秀樓410教室
S128,1,3,謝錦聰,機電大職攜二, Electronics Circuits Lab.,電子實習,五02-04,E223電子實驗教室
S129,3,3,郭應標,機電大職攜二, Electronics,電子學,三02-04,E243專題製作室
S130,3,3,呂學德,機電大職攜二, Engineering Mathematics,工程數學,一02-04,國秀樓503教室
S131,0,0,,機電大職攜一,,班週會時間,二08-09,E301電力品質實驗教室
S132,0,0,,機電大職攜二,,班週會時間,三08-08,"E223電子實驗教室), 五01-0"
S201,3,4,黃國華,機電大職二選1, Optimal Design of Electrical Machinery and Practice,最佳化電機設計及實習,三10-13,E318電機設計實驗教室
S202,3,4,賴香月,機電大職二選1, Graphical computer program and experiment,圖控程式設計及實習,三10-13,E232嵌入式系統實驗室
S203,3,3,陳時佳,機電大職二選2, Energy Application,能源應用,五11-13,E243專題製作室
S204,3,3,楊承志,機電大職三選, Computer Network Technology,電腦網路技術,一10-12,國秀樓503教室
S205,3,3,張木生,機電大職四選1, Personal Marketing and Image Management,個人行銷與形象管理,二10-12,國秀樓409教室
